Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	-5.05408066e-14	-5.05408066e-14	-5.05408066e-14	-5.05408066e-14	0	0	0	0	0	0	3
2	1	0	0.05	3.71852572e-06	1.85926284e-06	-5.05408066e-14	3.71852572e-06	1.85926289e-06	0	0	0	0	0	3
3	1	0	0.075	9.09021281e-07	1.54251565e-06	-5.05408066e-14	3.71852572e-06	1.85926289e-06	0	0	0	0	0	3
4	1	0	0.1	5.86049148e-07	1.30339903e-06	-5.05408066e-14	3.71852572e-06	1.85926289e-06	0	0	0	0	0	3
5	1	0	0.125	8.14424934e-08	1.05900772e-06	-5.05408066e-14	3.71852572e-06	1.85926289e-06	0	0	0	0	0	3
6	1	0	0.15	2.66338105e-06	1.32640327e-06	-5.05408066e-14	3.71852572e-06	1.85926289e-06	0	0	0	0	0	3
7	1	0	0.175	2.58508356e-06	1.50621474e-06	-5.05408066e-14	3.71852572e-06	1.85926289e-06	0	0	0	0	0	3
8	2	0	0.2	3.56995642e-06	1.76418245e-06	-5.05408066e-14	3.71852572e-06	1.85926289e-06	0	0	0	0	0	3
9	2	0	0.225	3.52226009e-06	1.95952441e-06	-5.05408066e-14	3.71852572e-06	1.95952446e-06	0	0	0	0	0	3
10	2	0	0.25	3.7689316e-06	2.14046513e-06	-5.05408066e-14	3.7689316e-06	2.14046518e-06	0	0	0	0	0	3
11	2	0	0.275	4.56662463e-06	2.36102509e-06	-5.05408066e-14	4.56662463e-06	2.36102514e-06	0	0	0	0	0	3
12	2	0	0.3	4.63331839e-06	2.55038286e-06	-5.05408066e-14	4.63331839e-06	2.55038291e-06	0	0	0	0	0	3
13	2	0	0.325	4.92444551e-06	2.73300307e-06	-5.05408066e-14	4.92444551e-06	2.73300312e-06	0	0	0	0	0	3
14	2	0	0.35	5.03505459e-06	2.89743532e-06	-5.05408066e-14	5.03505459e-06	2.89743537e-06	0	0	0	0	0	3
15	2	0	0.375	5.64175454e-06	3.08038993e-06	-5.05408066e-14	5.64175454e-06	3.08038998e-06	0	0	0	0	0	3
16	2	0	0.4	5.77367429e-06	3.2487202e-06	-5.05408066e-14	5.77367429e-06	3.24872025e-06	0	0	0	0	0	3
17	3	0	0.425	5.34198122e-06	3.3718532e-06	-5.05408066e-14	5.77367429e-06	3.37185326e-06	0	0	0	0	0	3
18	3	0	0.45	5.96822129e-06	3.51609588e-06	-5.05408066e-14	5.96822129e-06	3.51609593e-06	0	0	0	0	0	3
19	3	0	0.475	4.84527377e-06	3.58605261e-06	-5.05408066e-14	5.96822129e-06	3.58605266e-06	0	0	0	0	0	3
20	3	0	0.5	4.85883284e-06	3.64969162e-06	-5.05408066e-14	5.96822129e-06	3.64969167e-06	0	0	0	0	0	3
21	3	0	0.525	4.39041762e-06	3.8692125e-06	8.14424934e-08	5.96822129e-06	2.81020478e-06	0	0	0	0	0	3
22	3	0	0.55	4.16938774e-06	3.8917556e-06	8.14424934e-08	5.96822129e-06	2.83274788e-06	0	0	0	0	0	3
23	3	0	0.575	3.62307552e-06	4.02745832e-06	8.14424934e-08	5.96822129e-06	2.9684506e-06	0	0	0	0	0	3
24	3	0	0.6	3.26333112e-06	4.16132241e-06	8.14424934e-08	5.96822129e-06	3.1023147e-06	0	0	0	0	0	3
25	3	0	0.625	3.00821362e-06	4.30766097e-06	2.58508356e-06	5.96822129e-06	2.9812577e-06	0	0	0	0	0	3
26	4	0	0.65	3.60625201e-06	4.35480452e-06	2.58508356e-06	5.96822129e-06	2.84858977e-06	0	0	0	0	0	3
27	4	0	0.675	2.85997898e-06	4.36854929e-06	2.85997898e-06	5.96822129e-06	2.60436684e-06	0	0	0	0	0	3
28	4	0	0.7	3.58781136e-06	4.36944204e-06	2.85997898e-06	5.96822129e-06	2.40991762e-06	0	0	0	0	0	3
29	4	0	0.725	3.06946941e-06	4.3468025e-06	2.85997898e-06	5.96822129e-06	2.22897691e-06	0	0	0	0	0	3
30	4	0	0.75	3.86481109e-06	4.35159648e-06	2.85997898e-06	5.96822129e-06	2.00841695e-06	0	0	0	0	0	3
31	4	0	0.775	3.0078566e-06	4.27365807e-06	2.85997898e-06	5.96822129e-06	1.81905917e-06	0	0	0	0	0	3
32	4	0	0.8	3.7341421e-06	4.22869926e-06	2.85997898e-06	5.96822129e-06	1.63643897e-06	0	0	0	0	0	3
33	4	0	0.825	2.50745296e-06	4.10784963e-06	2.50745296e-06	5.96822129e-06	1.47200672e-06	0	0	0	0	0	3
34	4	0	0.85	3.81324128e-06	4.04675897e-06	2.50745296e-06	5.96822129e-06	1.2890521e-06	0	0	0	0	0	3
35	4	0	0.875	2.96806705e-06	3.91307459e-06	2.50745296e-06	5.96822129e-06	1.12072183e-06	0	0	0	0	0	3
36	5	0	0.9	3.6447647e-06	3.80662911e-06	2.50745296e-06	5.96822129e-06	9.97588831e-07	0	0	0	0	0	3
37	5	0	0.925	3.29093598e-06	3.70407685e-06	2.50745296e-06	5.96822129e-06	8.5334616e-07	0	0	0	0	0	3
38	5	0	0.95	3.76863236e-06	3.5940974e-06	2.50745296e-06	4.85883284e-06	7.83389428e-07	0	0	0	0	0	3
39	5	0	0.975	3.48313863e-06	3.52599065e-06	2.50745296e-06	4.85883284e-06	8.43451389e-07	0	0	0	0	0	3
40	5	0	1	3.41613244e-06	3.45385563e-06	2.50745296e-06	4.39041762e-06	9.15586409e-07	8.34980705e-07	0	91.1	0	0	3
41	5	0	1.025	3.83838211e-06	3.42625385e-06	2.50745296e-06	4.16938774e-06	9.43188184e-07	8.34980705e-07	0	88.5	0	0	3
42	5	0	1.05	3.82417215e-06	3.40899307e-06	2.50745296e-06	3.86481109e-06	9.60448964e-07	8.34980705e-07	0	86.9	0	0	3
43	5	0	1.075	4.19474641e-06	3.43757662e-06	2.50745296e-06	4.19474641e-06	9.60448964e-07	8.34980705e-07	0	86.9	0	0	3
44	5	0	1.1	3.29511359e-06	3.43079266e-06	2.50745296e-06	4.19474641e-06	9.60448964e-07	8.34980705e-07	0	86.9	0	0	3
45	6	0	1.125	4.02222721e-06	3.46693057e-06	2.50745296e-06	4.19474641e-06	9.60448964e-07	8.34980705e-07	0	86.9	0	0	3
46	6	0	1.15	3.8155974e-06	3.50537742e-06	2.50745296e-06	4.19474641e-06	9.60448964e-07	8.34980705e-07	0	86.9	0	0	3
47	6	0	1.175	3.24600912e-06	3.488223e-06	2.50745296e-06	4.19474641e-06	9.60448964e-07	8.34980705e-07	0	86.9	0	0	3
48	6	0	1.2	3.51227148e-06	3.51928454e-06	2.50745296e-06	4.19474641e-06	9.60448964e-07	8.34980705e-07	0	86.9	0	0	3
49	6	0	1.225	3.51129318e-06	3.51564082e-06	2.50745296e-06	4.19474641e-06	9.42603404e-07	8.34980705e-07	0	88.5	0	0	3
50	6	0	1.25	3.52110454e-06	3.53714726e-06	2.50745296e-06	4.19474641e-06	9.42603404e-07	8.34980705e-07	0	88.5	0	0	3
51	6	0	1.275	3.53464425e-06	3.52142503e-06	2.50745296e-06	4.19474641e-06	8.64665002e-07	8.34980705e-07	0	96.5	0	0	3
52	6	0	1.3	3.38259468e-06	3.5392697e-06	2.50745296e-06	4.19474641e-06	8.19706188e-07	8.34980705e-07	0	100	0	0	3
