Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	1.16473669	1.16473669	1.16473669	1.16473669	0	0	0	0	0	0	3
2	1	0	0.05	1.16451742	1.16462706	1.16451742	1.16473669	0.000109632915	0	0	0	0	0	3
3	1	0	0.075	1.16449114	1.16458175	1.16449114	1.16473669	0.000154939578	0	0	0	0	0	3
4	1	0	0.1	1.16448773	1.16455824	1.16448773	1.16473669	0.000178445485	0	0	0	0	0	3
5	1	0	0.125	1.16448619	1.16454383	1.16448619	1.16473669	0.000192857068	0	0	0	0	0	3
6	2	0	0.15	1.16448558	1.16453412	1.16448558	1.16473669	0.000202566419	0	0	0	0	0	3
7	2	0	0.175	1.1644849	1.16452709	1.1644849	1.16473669	0.000209598126	0	0	0	0	0	3
8	2	0	0.2	1.16448478	1.1645218	1.16448478	1.16473669	0.000214887429	0	0	0	0	0	3
9	2	0	0.225	1.16448436	1.16451764	1.16448436	1.16473669	0.000219047738	0	0	0	0	0	3
10	2	0	0.25	1.16448425	1.1645143	1.16448425	1.16473669	0.000222386829	0	0	0	0	0	3
11	2	0	0.275	1.16448403	1.16451155	1.16448403	1.16473669	0.000225138603	0	0	0	0	0	3
12	2	0	0.3	1.16448383	1.16450924	1.16448383	1.16473669	0.000227448701	0	0	0	0	0	3
13	2	0	0.325	1.16448373	1.16450728	1.16448373	1.16473669	0.000229411507	0	0	0	0	0	3
14	2	0	0.35	1.16448345	1.16450558	1.16448345	1.16473669	0.000231113773	0	0	0	0	0	3
15	2	0	0.375	1.16448329	1.16450409	1.16448329	1.16473669	0.0002325998	0	0	0	0	0	3
16	3	0	0.4	1.16448297	1.16450277	1.16448297	1.16473669	0.000233919636	0	0	0	0	0	3
17	3	0	0.425	1.16448271	1.16450159	1.16448271	1.16473669	0.000235099956	0	0	0	0	0	3
18	3	0	0.45	1.16448247	1.16450053	1.16448247	1.16473669	0.000236162076	0	0	0	0	0	3
19	3	0	0.475	1.1644823	1.16449957	1.1644823	1.16473669	0.000237121634	0	0	0	0	0	3
20	3	0	0.5	1.16448217	1.1644987	1.16448217	1.16473669	0.000237991662	0	0	0	0	0	3
21	3	0	0.525	1.164482	1.16448596	1.164482	1.16451742	3.5429134e-05	0	0	0	0	0	3
22	3	0	0.55	1.1644819	1.16448419	1.1644819	1.16449114	9.23824061e-06	0	0	0	0	0	3
23	3	0	0.575	1.16448187	1.16448372	1.16448187	1.16448773	5.85665233e-06	0	0	0	0	0	3
24	3	0	0.6	1.16448178	1.16448343	1.16448178	1.16448619	4.41187081e-06	0	0	0	0	0	3
25	3	0	0.625	1.16448174	1.1644832	1.16448174	1.16448558	3.83736228e-06	0	0	0	0	0	3
26	4	0	0.65	1.16448167	1.16448301	1.16448167	1.1644849	3.23068248e-06	0	0	0	0	0	3
27	4	0	0.675	1.16448166	1.16448285	1.16448166	1.16448478	3.12004418e-06	0	0	0	0	0	3
28	4	0	0.7	1.16448165	1.16448269	1.16448165	1.16448436	2.71391013e-06	0	0	0	0	0	3
29	4	0	0.725	1.16448165	1.16448255	1.16448165	1.16448425	2.60548059e-06	0	0	0	0	0	3
30	4	0	0.75	1.1644816	1.16448242	1.1644816	1.16448403	2.43115132e-06	0	0	0	0	0	3
31	4	0	0.775	1.16448159	1.1644823	1.16448159	1.16448383	2.24229867e-06	0	0	0	0	0	3
32	4	0	0.8	1.16448156	1.16448219	1.16448156	1.16448373	2.1664242e-06	0	0	0	0	0	3
