Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	-0.0288955676	-0.0288955676	-0.0288955676	-0.0288955676	0	0	0	0	0	0	3
2	1	0	0.05	-0.0289020764	-0.028898822	-0.0289020764	-0.0288955676	3.25441562e-06	0	0	0	0	0	3
3	1	0	0.075	-0.0289437352	-0.0289137931	-0.0289437352	-0.0288955676	1.82254742e-05	0	0	0	0	0	3
4	1	0	0.1	-0.0288773457	-0.0289046812	-0.0289437352	-0.0288773457	1.82254742e-05	0	0	0	0	0	3
5	1	0	0.125	-0.028912013	-0.0289061476	-0.0289437352	-0.0288773457	1.82254742e-05	0	0	0	0	0	3
6	1	0	0.15	-0.0289251086	-0.0289093077	-0.0289437352	-0.0288773457	1.82254742e-05	0	0	0	0	0	3
7	1	0	0.175	-0.0289456469	-0.028914499	-0.0289456469	-0.0288773457	1.89314554e-05	0	0	0	0	0	3
8	1	0	0.2	-0.0289554388	-0.0289196165	-0.0289554388	-0.0288773457	2.40489249e-05	0	0	0	0	0	3
9	1	0	0.225	-0.0289287613	-0.0289206326	-0.0289554388	-0.0288773457	2.50650078e-05	0	0	0	0	0	3
10	2	0	0.25	-0.0289492104	-0.0289234904	-0.0289554388	-0.0288773457	2.79227879e-05	0	0	0	0	0	3
11	2	0	0.275	-0.0289460387	-0.0289255402	-0.0289554388	-0.0288773457	2.99726344e-05	0	0	0	0	0	3
12	2	0	0.3	-0.0289216039	-0.0289252122	-0.0289554388	-0.0288773457	2.99726344e-05	0	0	0	0	0	3
13	2	0	0.325	-0.0289271103	-0.0289253582	-0.0289554388	-0.0288773457	2.99726344e-05	0	0	0	0	0	3
14	2	0	0.35	-0.028934899	-0.0289260397	-0.0289554388	-0.0288773457	3.04721023e-05	0	0	0	0	0	3
15	2	0	0.375	-0.0289328221	-0.0289264919	-0.0289554388	-0.0288773457	3.09242619e-05	0	0	0	0	0	3
16	2	0	0.4	-0.0289160419	-0.0289258387	-0.0289554388	-0.0288773457	3.09242619e-05	0	0	0	0	0	3
17	2	0	0.425	-0.0289235414	-0.0289257036	-0.0289554388	-0.0288773457	3.09242619e-05	0	0	0	0	0	3
18	2	0	0.45	-0.0289149626	-0.0289251069	-0.0289554388	-0.0288773457	3.09242619e-05	0	0	0	0	0	3
19	3	0	0.475	-0.0289218471	-0.0289249353	-0.0289554388	-0.0288773457	3.09242619e-05	0	0	0	0	0	3
20	3	0	0.5	-0.0289114579	-0.0289242614	-0.0289554388	-0.0288773457	3.09242619e-05	0	0	0	0	0	3
21	3	0	0.525	-0.0289143531	-0.0289252007	-0.0289554388	-0.0288773457	2.76698463e-05	0	0	0	0	0	3
22	3	0	0.55	-0.0289141332	-0.0289258036	-0.0289554388	-0.0288773457	2.18106378e-05	0	0	0	0	0	3
23	3	0	0.575	-0.0289123685	-0.0289242352	-0.0289554388	-0.0288773457	2.18106378e-05	0	0	0	0	0	3
24	3	0	0.6	-0.0289053434	-0.0289256351	-0.0289554388	-0.0289053434	2.03442732e-05	0	0	0	0	0	3
25	3	0	0.625	-0.0289127157	-0.0289256702	-0.0289554388	-0.0289053434	1.71841111e-05	0	0	0	0	0	3
26	3	0	0.65	-0.0289112402	-0.0289249768	-0.0289554388	-0.0289053434	1.19928065e-05	0	0	0	0	0	3
27	3	0	0.675	-0.0289095661	-0.0289231728	-0.0289554388	-0.0289053434	6.87533702e-06	0	0	0	0	0	3
28	4	0	0.7	-0.0289066138	-0.0289207315	-0.0289492104	-0.0289053434	5.85925415e-06	0	0	0	0	0	3
29	4	0	0.725	-0.0289105467	-0.0289198208	-0.0289492104	-0.0289053434	6.67105099e-06	0	0	0	0	0	3
30	4	0	0.75	-0.028905292	-0.0289176249	-0.0289460387	-0.028905292	8.86697087e-06	0	0	0	0	0	3
31	4	0	0.775	-0.0289158839	-0.0289161171	-0.028934899	-0.028905292	1.03747079e-05	0	0	0	0	0	3
32	4	0	0.8	-0.0289083627	-0.0289154551	-0.028934899	-0.028905292	1.10367695e-05	0	0	0	0	0	3
33	4	0	0.825	-0.0289144195	-0.0289148205	-0.028934899	-0.028905292	1.16713074e-05	0	0	0	0	0	3
34	4	0	0.85	-0.0289069224	-0.0289134217	-0.0289328221	-0.028905292	1.30701372e-05	0	0	0	0	0	3
35	4	0	0.875	-0.028911843	-0.0289123728	-0.0289235414	-0.028905292	1.34659739e-05	0	0	0	0	0	3
36	4	0	0.9	-0.028910108	-0.0289120761	-0.0289235414	-0.028905292	1.37274871e-05	0	0	0	0	0	3
37	5	0	0.925	-0.0289126321	-0.0289115306	-0.0289218471	-0.028905292	1.42729539e-05	0	0	0	0	0	3
38	5	0	0.95	-0.0289080706	-0.028911186	-0.0289218471	-0.028905292	1.46175535e-05	0	0	0	0	0	3
39	5	0	0.975	-0.0289126786	-0.0289107276	-0.0289158839	-0.028905292	1.05919468e-05	0	0	0	0	0	3
40	5	0	1	-0.0289073494	-0.0289105221	-0.0289158839	-0.028905292	1.05919468e-05	1.0968025e-05	0	100	0	0	3
41	5	0	1.025	-0.0289127638	-0.0289104427	-0.0289158839	-0.028905292	1.05919468e-05	1.0968025e-05	0	100	0	0	3
42	5	0	1.05	-0.0289102941	-0.0289102507	-0.0289158839	-0.028905292	1.05919468e-05	1.0968025e-05	0	100	0	0	3
43	5	0	1.075	-0.0289129034	-0.0289102775	-0.0289158839	-0.028905292	1.05919468e-05	1.0968025e-05	0	100	0	0	3
44	5	0	1.1	-0.0289095331	-0.028910242	-0.0289158839	-0.028905292	1.05919468e-05	1.0968025e-05	0	100	0	0	3
45	5	0	1.125	-0.0289126194	-0.0289105885	-0.0289158839	-0.028905292	1.05919468e-05	1.0968025e-05	0	100	0	0	3
46	5	0	1.15	-0.0289115363	-0.0289105323	-0.0289158839	-0.028905292	1.05919468e-05	1.0968025e-05	0	100	0	0	3
47	6	0	1.175	-0.0289137773	-0.0289106532	-0.0289158839	-0.028905292	1.05919468e-05	1.0968025e-05	0	100	0	0	3
48	6	0	1.2	-0.0289110015	-0.0289107215	-0.0289158839	-0.028905292	1.04894989e-05	1.0968025e-05	0	100	0	0	3
49	6	0	1.225	-0.0289130537	-0.0289110282	-0.0289158839	-0.028905292	9.57877251e-06	1.0968025e-05	0	100	0	0	3
50	6	0	1.25	-0.0289094153	-0.0289109743	-0.0289158839	-0.028905292	7.38285263e-06	1.0968025e-05	0	100	0	0	3
51	6	0	1.275	-0.0289125539	-0.0289113201	-0.0289158839	-0.0289069224	5.87511557e-06	1.0968025e-05	0	100	0	0	3
52	6	0	1.3	-0.0289115342	-0.028911113	-0.0289144195	-0.0289069224	5.21305403e-06	1.0968025e-05	0	100	0	0	3
